@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2}

@data
3197,'2017/03/22 18:36:07:819',3,0.232752,0.620899,1
3198,'2017/03/22 18:36:07:825',3,0.232752,0.620899,1
3199,'2017/03/22 18:36:07:887',3,0.232752,0.620899,1
3200,'2017/03/22 18:36:07:887',3,0.232752,0.620899,1
3201,'2017/03/22 18:36:07:954',3,0.232752,0.620899,1
3202,'2017/03/22 18:36:07:954',3,0.232752,0.620899,1
3203,'2017/03/22 18:36:08:102',3,0.232752,0.620899,1
3204,'2017/03/22 18:36:08:102',3,0.232752,0.620899,1
3205,'2017/03/22 18:36:08:184',3,0.245408,0.620899,1
3206,'2017/03/22 18:36:08:185',3,0.245408,0.63438,1
3207,'2017/03/22 18:36:08:251',3,0.258289,0.63438,1
3208,'2017/03/22 18:36:08:251',3,0.258289,0.64786,1
3209,'2017/03/22 18:36:08:398',3,0.271622,0.64786,1
3210,'2017/03/22 18:36:08:398',3,0.271622,0.661403,1
3211,'2017/03/22 18:36:08:499',3,0.285181,0.661403,1
3212,'2017/03/22 18:36:08:499',3,0.285181,0.674947,1
3213,'2017/03/22 18:36:08:614',3,0.300301,0.674947,1
3214,'2017/03/22 18:36:08:614',3,0.300301,0.663542,1
3215,'2017/03/22 18:36:08:683',3,0.315647,0.663542,1
3216,'2017/03/22 18:36:08:683',3,0.315647,0.652137,1
3217,'2017/03/22 18:36:08:781',3,0.330767,0.652137,1
3218,'2017/03/22 18:36:08:781',3,0.330767,0.640732,1
3219,'2017/03/22 18:36:08:913',3,0.346076,0.640732,1
3220,'2017/03/22 18:36:08:913',3,0.346076,0.629327,1
3221,'2017/03/22 18:36:08:985',3,0.361152,0.629327,1
3222,'2017/03/22 18:36:08:986',3,0.361152,0.617922,1
3223,'2017/03/22 18:36:09:092',3,0.375997,0.617922,1
3224,'2017/03/22 18:36:09:092',3,0.375997,0.606719,1
3225,'2017/03/22 18:36:09:198',3,0.390841,0.606719,1
3226,'2017/03/22 18:36:09:198',3,0.390841,0.595515,1
3227,'2017/03/22 18:36:09:264',3,0.405454,0.595515,1
3228,'2017/03/22 18:36:09:265',3,0.405454,0.584311,1
3229,'2017/03/22 18:36:09:393',3,0.420298,0.584311,1
3230,'2017/03/22 18:36:09:393',3,0.420298,0.571205,1
3231,'2017/03/22 18:36:09:495',3,0.435374,0.571205,1
3232,'2017/03/22 18:36:09:495',3,0.435374,0.558635,1
3233,'2017/03/22 18:36:09:562',3,0.451379,0.558635,1
3234,'2017/03/22 18:36:09:562',3,0.451379,0.546843,1
3235,'2017/03/22 18:36:09:726',3,0.468079,0.546843,1
3236,'2017/03/22 18:36:09:726',3,0.468079,0.536294,1
3237,'2017/03/22 18:36:09:778',3,0.484779,0.536294,1
3238,'2017/03/22 18:36:09:779',3,0.484779,0.536294,1
3239,'2017/03/22 18:36:09:862',3,0.501479,0.536294,1
3240,'2017/03/22 18:36:09:862',3,0.501479,0.546442,1
3241,'2017/03/22 18:36:10:012',3,0.518179,0.546442,1
3242,'2017/03/22 18:36:10:012',3,0.518179,0.55691,1
3243,'2017/03/22 18:36:10:077',3,0.534879,0.55691,1
3244,'2017/03/22 18:36:10:077',3,0.534879,0.567537,1
3245,'2017/03/22 18:36:10:146',3,0.551579,0.567537,1
3246,'2017/03/22 18:36:10:146',3,0.551579,0.578136,1
3247,'2017/03/22 18:36:10:308',3,0.568279,0.578136,1
3248,'2017/03/22 18:36:10:308',3,0.568279,0.588736,1
3249,'2017/03/22 18:36:10:361',3,0.584979,0.588736,1
3250,'2017/03/22 18:36:10:361',3,0.584979,0.599887,1
3251,'2017/03/22 18:36:10:445',3,0.601679,0.599887,1
3252,'2017/03/22 18:36:10:445',3,0.601679,0.6116,1
3253,'2017/03/22 18:36:10:598',3,0.618379,0.6116,1
3254,'2017/03/22 18:36:10:598',3,0.618379,0.623628,1
3255,'2017/03/22 18:36:10:663',3,0.635079,0.623628,1
3256,'2017/03/22 18:36:10:663',3,0.635079,0.635549,1
3257,'2017/03/22 18:36:10:812',3,0.651779,0.635549,1
3258,'2017/03/22 18:36:10:812',3,0.651779,0.647561,1
3259,'2017/03/22 18:36:10:907',3,0.668479,0.647561,1
3260,'2017/03/22 18:36:10:909',3,0.668479,0.659572,1
3261,'2017/03/22 18:36:10:958',3,0.685179,0.659572,1
3262,'2017/03/22 18:36:10:960',3,0.685179,0.671583,1
3263,'2017/03/22 18:36:11:092',3,0.701879,0.671583,1
3264,'2017/03/22 18:36:11:092',3,0.701879,0.683563,1
3265,'2017/03/22 18:36:11:186',3,0.718579,0.683563,1
3266,'2017/03/22 18:36:11:186',3,0.718579,0.695542,1
3267,'2017/03/22 18:36:11:246',3,0.735279,0.695542,1
3268,'2017/03/22 18:36:11:246',3,0.735279,0.707649,1
3269,'2017/03/22 18:36:11:392',3,0.751979,0.707649,1
3270,'2017/03/22 18:36:11:393',3,0.751979,0.719647,1
3271,'2017/03/22 18:36:11:487',3,0.768679,0.719647,1
